"tipo_producto","marca","nombre_comercial","denominacion_venta","rnpa",""
"31","Alimentos Tapalqué","No registra","Lomo de cerdo ahumado feteado libre de gluten","1180/2815/3",""
"31","Brest","No registra","Chorizos tipo criollo precocidos sin piel libres de gluten","1192/98101/7",""
"31","Rydhans","No registra","Jamón cocido libre de gluten","1192/107936/8",""
"19","Swift Burguer","No registra","Medallones de carne vacuna con soja supercongelados sabor parrillero libre de gluten","4725/96077/9",""
"31","Cabaña SR","No registra","Panceta salada libre de gluten","3416/72938/1",""
"31","Cabaña SR","No registra","Longaniza parrillera libre de gluten","3416/23680/2",""
"31","Sersale","No registra","Chorizos frescos libres de gluten","3889/56903/4",""
"31","Cabaña SR","No registra","Longaniza parrillera libre de gluten","3416/23680/5",""
"19","Swift Burguer","No registra","Medallones de carne vacuna supercongelados reducidos en grasas totales y valor energético libre de gluten","13/46764/11 ",""
"19","Swift Burguer","No registra","Medallones de carne vacuna supercongelados reducidos en grasas totales y valor energético libre de gluten","13/46764/15",""
"31","Cabaña SR","No registra","Chorizo tipo español libre de gluten","3416/33708/2",""
"31","Xinda","No registra","Jamón cocido libre de gluten","175/108410/2",""
"19","Dia %","No registra","Bifes a la hamburguesa supercongelados libres de gluten","2062/42045/5",""
"31","Levoni","No registra","Jamón crudo deshuesado San Daniele libre de gluten","19680/105804/1",""
"19","Dia %","No registra","Bifes a la hamburguesa supercongelados libres de gluten","2062/420458/8",""
"31","Levoni","No registra","Jamón crudo deshuesado de Parma libre de gluten","19680/105803/1",""
"31","Doina","No registra","Jamón cocido tipo ibérico sin hueso libre de gluten","3623/34125/1",""
"31","Campo Austral Baviera","No registra","Salchichas cocidas tipo alemán pasteurizadas libres de gluten","3414/92701/3",""
"31","Campo Austral","No registra","Jamón crudo con hueso libre de gluten","3414/93968/2",""
"19","Paty Clásico","No registra","Hamburguesas de carne vacuna supercongeladas libres de gluten","1014/106733/10",""
"31","Alimentos Tapalqué","No registra","Fiambre cocido de paleta de cerdo libre de gluten","1180/4549/1",""
"25","Puglisi","No registra","Atún en aceite libre de gluten","435/1249/4",""
"19","Día %","No registra","Bifes a la hamburguesa supercongelados libres de gluten","3235/95775/65",""
"19","Kobe Beef","No registra","Medallones de carne vacuna supercongelados libres de gluten","3235/106503/4",""
"19","Kobe Beef","No registra","Medallones de carne vacuna supercongelados libres de gluten","3235/106503/8",""
"56","La Lecherita","Yogur bebible sabor frutilla con vitaminas A y D","Yogur endulzado parcialmente descremado sabor a frutilla bebible libre de gluten aromatizado artificialmente","025/08002215/012",""
"56","La Lecherita","Yogur bebible sabor a durazno con vitaminas A y D","Yogur endulzado parcialmente descremado sabor a durazno bebible libre de gluten aromatizado artificialmente","025/08002215/014",""
"33","Banda Naranja","Conito","Galletita dulce con dulce de leche cubierta con baño de repostería - Libre de gluten","4063896",""
"36","La Lácteo","Leche chocolatada","Leche chocolatada parcialmente descremada, homogeneizada, con calcio fortificada con vitaminas A y D esterilizada UAT - Libre de gluten","4062987",""
"36","La Lácteo","No registra","Leche descremada, reducida en lactosa esterilizada por UAT, homogeneizada, fortificada con calcio y vitaminas A y D, con fibra soluble, larga vida - Libre de gluten","4063663",""
"21","El Entrerriano","El Entrerriano","Arroz pulido tipo grano largo ancho calidad 00000. Libre de gluten","025/08000328-3-7/031",""
"21","El Entrerriano","El Entrerriano","Arroz pulido tipo grano largo fino calidad 00000. Libre de gluten","025/08000328-3-7/032",""
"13","Tang Fresh","No registra","Polvo para preparar bebida analcohólica artificial dietética de bajas calorías fortificada con vitamina C sabor frutilla. Libre de gluten. Sin TACC.","19010679",""
"21","Carogran","No registra","Arroz pulido tipo largo fino calidad 0000 libre de gluten","025/08000220-3-7/018",""
"55","Campeche Selección Especial","No registra","Yerba mate elaborada con palo. Libre de gluten - Sin TACC","14022036",""
"31","Cruz Pampa","No registra","Jamón crudo sin hueso con cuero libre de gluten","3781/104922/2",""
"42","BC La Campagnola ","Frambuesa","Mermelada de frambuesa reducida en calorías libre de gluten","025-13023125",""
"42","BC La Campagnola","Membrillo","Jalea de membrillo reducida en calorías libre de gluten","025-13023128",""
"42","BC La Campagnola","Frutos Rojos","Mermelada de cassis, frutilla y mora reducida en calorías libre de gluten","025-13035491",""
"18","Cosmos","Cosmos","Chupetines de caramelo duro ácido sabores surtidos frutilla, naranja, limón y cola - Libre de gluten","23024201",""
"49","901","No registra","Queso cremoso - Libre de gluten","4063906",""
"49","Vacalin","No registra","Queso Brie libre de gluten","4063743",""
"49","Vacalin","No registra","Queso Camembert libre de gluten","4063746",""
"49","La Boheme","No registra","Queso Brie de cabra libre de gluten","4063747",""
"49","La Boheme","No registra","Queso Camembert de cabra libre de gluten","4063745",""
"42","Berries del Litoral","Mermelada mix de berries berries del litoral","Mermelada de arándanos, frutillas y boysenberries libre de gluten","025/08002433/006",""
"42","Berries del Litoral","Mermelada de boysenberries berries del litoral","Mermelada de boysenberries libre de gluten","025/08002433/005",""
"42","Berries del Litoral","Mermelada de arándanos berries del litoral ","Mermelada de arándanos libres de gluten","025/08002433/001",""
"42","Berries del Litoral","Mermelada de frutillas berries del litoral","Mermelada de frutillas libre de gluten","025/08002433/007",""
"53","No registra","Ampk Tiroivit","Suplemento dietario a base de aceite de krill en cápsulas - Libre de gluten","1046923",""
"49","Estilo Real","No registra","Queso Tybo. Libre de gluten","4063968",""
"49","Arroyito","No registra","Queso Tybo. Libre de gluten","4063973",""
"22","Estación La Finca","No registra","Cobertura de chocolate semiamargo con semillas de sésamo y etilvainilla - Libre de gluten","4063389",""
"22","Estación La Finca","No registra","Cobertura de chocolate semiamargo con cáscara de naranja confitada, almendras y etilvainilla - Libre de gluten","4063390",""
"53","Enterex","Enterex Karbs","Suplemento dietario de carbohidratos, en polvo. Libre de gluten","520001",""
"8","Enterex","Enterex HPT","Alimento para propósitos médicos específicos en polvo dietético a base de maltodextrina, triglicéridos de cadena media, aceite de canola y aminoácidos, sabor vainilla. Libre de gluten","520002",""
"20","Patagonia Grains","Bolitas chocolatadas","Extrudado a base de harina de maíz y cacao con sabor a chocolate - Libre de gluten","21-102644",""
"20","Patagonia Grains","Hojuelas sabor limón","Extrudado a base de harina de arroz y harina de maíz con relleno sabor limón - libre de gluten","21-103369",""
"20","Patagonia Grains","Hojuelas sabor frutilla","Extrudado a base de harina de arroz y harina de maíz con relleno sabor frutilla - Libre de gluten ","21-103136",""
"20","Patagonia Grains","Almohadillas","Extrudado de harina de arroz y maíz con cacao - libre de gluten","21-102500",""
"20","Patagonia Grains","Chocopicos","Extrudado a base de harina de maíz con cacao sabor a chocolate - Libre de gluten","21-102534",""
"20","Patagonia Grains","No registra","Copos de maíz - Libre de gluten","21-102589",""
"20","Patagonia Grains","No registra","Copos de maíz con azúcar - Libre de gluten","21-102638",""
"20","Patagonia Grains","Anillitos frutales","Extrudado a base de harina de maíz con sabor a frutas - Libre de gluten","21-102639",""
"45","Piré","Fiordibosco","Helado de crema sabor chantilly con frutos rojos libre de gluten. Sin TACC","15002088",""
"45","Piré","Naranja Mango","Helado de agua sabor naranja y mango, aromatizado con esencia artificial libre de gluten. Sin TACC","15003442",""
"45","Piré","Sambayón","Helado de crema con vino dulce y huevo libre de gluten. Sin TACC","15002111",""
"45","Piré","Mousse de Limón","Helado de crema sabor mousse de limón libre de gluten. Sin TACC","15002104",""
"45","Piré","Mascarpone con Arándanos","Helado de crema sabor mascarpone con arándanos libre de gluten. Sin TACC","15002863",""
"45","Piré","Coco Quemado","Helado de crema de coco con azúcar quemada y dulce de leche libre de gluten. Sin TACC","15002078",""
"45","Piré","Cereza","Helado de crema sabor cereza libre de gluten. Sin TACC","15002067",""
"45","Piré","Suspiro de Frambuesa","Helado de crema sabor frambuesa libre de gluten. SinTACC","15002864",""
"32","Zopilote","No registra","Nueces peladas en mitades grado superior libre de gluten","16009924",""
"18","Flynn Paff - Georgalos","No registra","Caramelos masticables sabor banana - Libre de gluten","4062114",""
"36","Noal","No registra","Leche en polvo descremada instantánea fortificada con vitaminas A y D. Libre se gluten","4064008",""
"33","No registra","Bonsai Sin TACC","Alimento a base arroz integral cubierto con baño de repostería semiamargo - Libre de gluten","1047088",""
"33","No registra","Bonsai Sin TACC","Alimento a base arroz integral cubierto con baño de repostería fantasía sabor dulce de leche - Libre de gluten","1047090",""
"33","No registra","Bonsai Sin TACC","Alimento a base arroz integral cubierto con baño de repostería fantasía sabor frutilla - Libre de gluten","1047091",""
"36","Calidad Es Primer Precio","No registra","Leche parcialmente descremada, esterilizada por UAT, homogeneizada, fortificada con vitaminas A y D. Larga vida. Libre de gluten","4063928",""
"28","El Puente","No registra","Crema de leche libre de gluten","4064013",""
"36","Calidad Es Primer Precio","Leche chocolatada","Leche chocolatada parcialmente descremada, esterilizada por UAT, homogeneizada, fortificada con calcio y vitaminas A y D. Libre de gluten","4063927",""
"27","Emeth","No registra","Puré de tomate libre de gluten","12006481",""
"27","Emeth","No registra","Tomate triturado libre de gluten","12006482",""
"27","S&P","No registra","Arvejas secas remojadas libre de gluten","12006545",""
"27","S&P","No registra","Porotos secos remojados variedad alubia libre de gluten","12006542",""
"27","S&P","No registra","Garbanzos secos remojados libre de gluten","12006544",""
"27","S&P","No registra","Lentejas secas remojadas libre de gluten","12006543",""
"51","La Salteña","No registra","Salsa para pizza libre de gluten","12006557",""
"27","M&K","No registra","Puré de tomate libre de gluten","12006660",""
"42","Alimentos Dr. A Cormillot","No registra","Mermelada de membrillo reducida en calorías. Alimento dietético. Libre de gluten","4064071",""
"52","Julicroc","Papas fritas sabor asado criollo","Papas fritas sabor asado criollo libre de gluten","025/08003484-3-7/022",""
"9","La Providencia","La Providencia","Melaza de caña - Libre de gluten - Sin T.A.C.C.","23039797",""
"52","Julicroc","Aritos de harina de maíz sabor pizza","Aritos de harina de maíz sabor pizza libre de gluten","025/08003484-3-7/003",""
"52","Julicroc","Tubitos de harina de maíz sabor jamón","Tubitos de harina de maíz sabor jamón libre de gluten ","025/08003484-3-7/004",""
"33","Schär","Salti","Galletitas saladas. Libre de gluten","560008",""
"33","Schär","Maria Plain Biscuits","Galletitas dulces sabor a vainilla. Libre de gluten","560009",""
"33","Schär","Crackers","Galletitas. Libre de gluten","560010",""
"43","Schär","Rustico Bread","Pan a base de harina de arroz y almidón de maíz. Libre de gluten","620007",""
"42","La Campagnola","Naranja ","Mermelada de naranja. Libre de gluten","025-13013174",""
"49","El Criollo","Queso Tybo","Queso Tybo libre de gluten","025/08000161/035",""
"55","Aguantadora ","Yerba mate elaborada con palo. Libre de Gluten. Sin T.A.C.C.","Yerba mate elaborada con palo. Libre de Gluten. Sin T.A.C.C.","14025752",""
"55","Aguantadora ","Yerba mate elaborada con palo. Libre de Gluten. Sin T.A.C.C.","Yerba mate elaborada con palo. Libre de Gluten. Sin T.A.C.C.","14025754",""
"55","Aguantadora ","Yerba mate elaborada con palo. Libre de Gluten. Sin T.A.C.C.","Yerba mate elaborada con palo. Libre de Gluten. Sin T.A.C.C.","14025753",""
"53","No registra","Boldo Tintura- Hierbas del Oasis","Suplemento dietario a base de boldo y vitamina C, en solución alcohólica, libre de gluten","1046919",""
"53","No registra","Ulmaria Tintura- Hierbas del Oasis","Suplemento dietario a base de ulmaria y vitamina C, en solución alcohólica, libre de gluten","1046920",""
"53","No registra","Estigma De Maíz Tintura- Hierbas del Oasis","Suplemento dietario a base de estigma de maíz y vitamina C, en solución alcohólica, libre de gluten","1046918",""
"53","No registra","Yacón Tintura- Hierbas del Oasis","Suplemento dietario a base de yacón y vitamina C, en solución alcohólica, libre de gluten","1046917",""
"53","No registra","Regaliz Tintura- Hierbas del Oasis","Suplemento dietario a base de regaliz y vitamina C, en solución alcohólica, libre de gluten","1046921",""
"53","No registra","Sen Tintura- Hierbas del Oasis","Suplemento dietario a base de sen y vitamina C, en solución alcohólica, libre de gluten","1046914",""
"53","No registra","Zarzaparilla Tintura- Hierbas del Oasis","Suplemento dietario a base de zarzaparilla y vitamina C, en solución alcohólica, libre de gluten","1046912",""
"21","Ranchitos","No registra","Fécula de Mandioca - Libre de gluten - Sin TACC","14000585",""
"49","El Puente","No registra","Queso sardo libre de gluten","4064111",""
"49","El Puente","No registra","Ricotta libre de gluten","4064110",""
"33","Banda Naranja","No registra","Galleta con semillas de lino, chía y sésamo. Libre de gluten","4064136",""
"36","Calidad Es Primer Precio","No registra","Leche entera esterilizada por UAT. Homogeneizada, fortificada con vitaminas A y D, larga vida. Libre de gluten","4057001",""
"22","Maní King","Deleite","Manteca de maní libre de gluten","4063857",""
"36","Rural","No registra","Leche en polvo entera instantánea fortificada con vitaminas A y D. Libre de gluten ","025/080000019-3-7/137",""
"25","Gomes Da Costa","No registra","Lomitos de atún al natural libre de gluten","I 13451/61382/1",""
"31","Cagnoli","No registra","Sopresatta tipo italiana libre de gluten","1053/0047/1  ",""
"31","Cagnoli","No registra","Sopresatta tipo italiana libre de gluten","1053/0047/3",""
"19","Paty Light","No registra","Medallones de carne vacuna supercongelados libres de gluten","1014/72360/7",""
"31","Frigorífico La Exposición ","No registra","Jamón crudo sin hueso con cuero libre de gluten","3781/105634/3",""
"31","Vaes 331","No registra","Fiambre cocido de pata de cerdo libre de gluten","175/107737/2",""
"31","El Artesano de Marcos Paz","No registra","Lomo de cerdo curado tipo serrano libre de gluten","3781/103254/3",""
"31","El Artesano de Marcos Paz","No registra","Bondiola libre de gluten","3781/44301/2",""
"31","Cagnoli","No registra","Salame tandilero tipo fuet estilo serrano con trozos de jamón crudo libre de gluten","1053/104209/2",""
"31","Frigorífico La Exposición ","No registra","Jamón crudo sin hueso sin cuero y desgrasado libre de gluten","3781/105589/3",""
"31","La Francisca","No registra","Bondiola cocida ahumada libre de gluten","4655/99206/1 ",""
"31","La Francisca","No registra","Bondiola cocida ahumada libre de gluten","4655/99206/2",""
"31","La Francisca","No registra","Panceta cocida y ahumada libre de gluten","4655/99205/1 ",""
"31","La Francisca","No registra","Panceta cocida y ahumada libre de gluten","4655/99205/2",""
"31","La Francisca","No registra","Lomo de cerdo cocido y ahumado libre de gluten","4655/99204/1 ",""
"31","La Francisca","No registra","Lomo de cerdo cocido y ahumado libre de gluten","4655/99204/2 ",""
"31","La Francisca","No registra","Mortadela con pistachos libre de gluten","4655/98149/1 ",""
"31","La Francisca","No registra","Mortadela con pistachos libre de gluten","4655/98149/2",""
"31","Levoni Spa","No registra","Mortadela bologna IGP TR con pistaccio libre de gluten","I 19680/109245/1",""
"19","Paty Express","No registra","Hamburguesas de carne vacuna supercongeladas libres de gluten","1014/91335/7",""
"19","Swift Burguer","No registra","Medallones de carne vacuna con soja supercongelados sabor parrillero libres de gluten","4725/96077/4",""
"31","Trozer","No registra","Fiambre cocido de paleta de cerdo feteado libre de gluten","2616/88981/7",""
"31","Trozer","No registra","Fiambre cocido de pata de cerdo feteado libre de gluten","2616/88973/7",""
"31","Trozer","No registra","Jamón cocido feteado libre de gluten","2616/70371/6",""
"31","La Octava","No registra","Jamón crudo tipo Parma libre de gluten","2809/30554/2",""
"49","Talar","Muzzarella","Queso muzzarella - Libre de gluten","036-00-000384",""
"49","Talar","Muzzarella bola","Queso muzzarella - Libre de gluten","036-00-000383",""
"16","Nespresso","Limited Edition - Cafezinho do Brasil","Café tostado y molido en cápsulas - Libre de gluten","079-00-000366",""
"6","Nutribaby 1","No registra","Fórmula láctea en polvo para lactantes de 0 a 6 meses con hierro, prebióticos, ácidos grasos poliinsaturados de cadena larga libre de gluten ","025/080000019-3-7/147",""
"6","Nutribaby 2","No registra","Fórmula láctea en polvo para lactantes de 6 a 12 meses, con hierro, prebióticos, ácidos grasos poliinsaturados de cadena larga libre de gluten ","025/080000019-3-7/148",""
"7","Nutribaby 3","No registra","Leche en polvo modificada para niños mayores de 1 año, con hierro libre de gluten","025/080000019-3-7/149",""
"36","M&K","No registra","Leche en polvo entera instantánea fortificada con vitaminas A y D libre de gluten ","025/080000019-3-7/057",""
"36","Purísima","No registra","Leche en polvo descremada instantánea fortificada con vitaminas A, D y calcio libre de gluten ","025/080000019-3-7/158",""
"36","Purísima","No registra","Leche en polvo entera instantánea fortificada con vitaminas A, D, C, B1, B12 y ácido fólico libre de gluten ","025/080000019-3-7/157",""
"33","Familia Llanos, Cocina con Gusto","Pepas","Galletitas dulces sabor a vainilla con dulce de membrillo. Libre de gluten","4063753",""
"33","Familia Llanos, Cocina con Gusto","Pepitas","Galletitas dulces sabor a vainilla con baño de repostería dulce. Libre de gluten","4063752",""
"33","Familia Llanos, Cocina con Gusto","Damasquitos","Galletitas dulces sabor a vainilla rellenas con mermelada de damasco. Libre de gluten","4063750",""
"33","Don Marcos","Tostaditas de Arroz Don Marcos Clásicas","Tostaditas de arroz con agregado de sal - libre de gluten","025/08000337-3-7/013",""
"33","Don Marcos","Tostaditas de Arroz Don Marcos Sin Sal","Tostaditas de arroz sin agregado de sal - libre de gluten","025/08000337-3-7/014",""
"22","Águila","No registra","Salsa de chocolate con leche - libre de gluten","5004895",""
"55","Natura","Yerba Mate Natura Selección Especial","Yerba mate elaborada con palo - Libre de gluten - Sin TACC","14025731",""
"55","La Tranquera","No registra","Yerba mate elaborada con palo. Libre de gluten","14001324",""
"55","La Tranquera Selección Especial","No registra","Yerba mate elaborada con palo - Libre de gluten","14024183",""
"40","Tonadita","Manteca Light","Manteca dietética reducida en valor lipídico - Libre de gluten","4064232",""
"18","Mr. Monkey Flynn Paff","No registra","Caramelos masticables con sabor a banana. Libre de gluten","4062427",""
"56","Sancor Yogs","No registra","Yogur endulzado parcialmente descremado sabor pera y manzana con zinc, fortificado con vitaminas A y D. Libre de gluten","4063017",""
"49","Lácteos Vicentia","Queso Tybo","Queso Tybo libre de gluten","025/08000161/076",""
"49","Lácteos Vicentia","Queso Cremoso","Queso cremoso libre de gluten","025/08000161/077",""
"42","El Chucupal Natural & Artesanal","El Chucupal Natural & Artesanal","Jalea de membrillo libre de gluten - Sin  T.A.C.C.","10006148",""
"42","El Chucupal Natural & Artesanal","El Chucupal Natural & Artesanal","Lima en almíbar libre de gluten - Sin T.A.C.C.","10006143",""
"42","El Chucupal Natural & Artesanal","El Chucupal Natural & Artesanal","Batatas en almíbar libre de gluten - Sin TA.C.C.","10006134",""
"42","El Chucupal Natural & Artesanal","El Chucupal Natural & Artesanal","Mermelada de naranja libre de gluten - Sin T.A.C.C.","10006155",""
"42","El Chucupal Natural & Artesanal","El Chucupal Natural & Artesanal","Dulce de cayote libre de gluten - Sin T.A.C.C.","10006138",""
"42","El Chucupal Natural & Artesanal","El Chucupal Natural & Artesanal","Higo en almíbar libre de gluten - Sin T.A.C.C.","10006142",""
"42","El Chucupal Natural & Artesanal","El Chucupal Natural & Artesanal","Mermelada de higo libre de gluten - Sin T.A.C.C.","10006152",""
"42","El Chucupal Natural & Artesanal","El Chucupal Natural & Artesanal","Papaya (mamón) en almíbar libre de gluten - Sin T.A.C.C.","10006147",""
"42","El Chucupal Natural & Artesanal","El Chucupal Natural & Artesanal","Membrillo en almíbar libre de gluten - Sin T.A.C.C.","10006144",""
"42","El Chucupal Natural & Artesanal","El Chucupal Natural & Artesanal","Durazno cuaresmillo en almíbar libre de gluten - Sin T.A.C.C.","10006135",""
"42","El Chucupal Natural & Artesanal","El Chucupal Natural & Artesanal","Zapallo en almíbar libre de gluten - Sin T.A.C.C.","10006156",""
"42","El Chucupal Natural & Artesanal","El Chucupal Natural & Artesanal","Mermelada de mango libre de gluten - Sin T.A.C.C.","10006153",""
"42","El Chucupal Natural & Artesanal","El Chucupal Natural & Artesanal","Mermelada de durazno libre de gluten - Sin T.A.C.C.","10006149",""
"42","El Chucupal Natural & Artesanal","El Chucupal Natural & Artesanal","Moras en almíbar libre de gluten - Sin T.A.C.C.","10006145",""
"42","El Chucupal Natural & Artesanal","El Chucupal Natural & Artesanal","Dulce de guayaba libre de gluten - Sin T.A.C.C.","10006140",""
"42","El Chucupal Natural & Artesanal","El Chucupal Natural & Artesanal","Mermelada de mora libre de gluten - Sin T.A.C.C.","10006154",""
"42","El Chucupal Natural & Artesanal","El Chucupal Natural & Artesanal","Dulce de cayote libre de gluten - Sin T.A.C.C.","10006139",""
"42","El Chucupal Natural & Artesanal","El Chucupal Natural & Artesanal","Dulce de batata libre de gluten - Sin T.A.C.C.","10006137",""
"42","El Chucupal Natural & Artesanal","El Chucupal Natural & Artesanal","Guayaba en almíbar libre de gluten - Sin T.A.C.C.","10006141",""
"42","El Chucupal Natural & Artesanal","El Chucupal Natural & Artesanal","Quinoto en almíbar libre de gluten - Sin T.A.C.C.","10006146",""
"55","Piporé","No registra","Yerba mate elaborada con palo para tereré. Libre de gluten sin T.A.C.C.","14025763",""
"21","Onza de oro","No registra","Harina de garbanzos - Libre de gluten","02-595947",""
"23","Celi Market","No registra","Empanada muzzarella y espinaca congelada - Libre de gluten","02-595919",""
"36","Don Pascual","No registra","Leche en polvo entera libre de gluten","02-516188",""
"45","Danette","No registra","Postre sabor a crema americana - Libre de gluten","02-596890",""
"22","Cubersuiz","No registra","Baño de repostería con leche libre de gluten","21-110042",""
"7","Enfabebé 3","No registra","Leche modificada UAT para niños libre de gluten","21-109591",""
"36","Cooperativa de Trabajo Nuevo Amanecer Limitada","No registra","Leche en polvo entera instantánea fortificada con vitaminas A y D libre de gluten","21-110254",""
"36","Argenlac","No registra","Leche en polvo entera. Libre de gluten","02-569279",""
"36","Argenlac","No registra","Leche entera en polvo instantánea fortificada con vitaminas A y D. Libre de gluten","02-569264",""
"42","Abedul","No registra","Mermelada de durazno - Libre de gluten","02-595949",""
"42","Abedul","No registra","Mermelada de frutilla - Libre de gluten","02-595950",""
"43","Manjar ®","No registra","Chipá libre de gluten ","02-596092",""
"43","Carrefour","No registra","Pan de molde a base de harina de maíz con semillas libre de gluten - Pan de molde con semillas - Sin TACC","02-595847",""
"43","Celimundo ","No registra","Pan libre de gluten ","02-595981",""
"43","Delicias Doradas","No registra","Producto de panadería libre de gluten tipo tapa para empanadas","02-596219",""
"44","Celimundo ","No registra","Pasta al huevo - Fideo libre de gluten ","02-595980",""
"44","Manjar ®","No registra","Pastas frescas rellenas de berenjenas - Ravioles de berenjena - Libre de gluten","02-596080",""
"44","Manjar ®","No registra","Pastas frescas rellenas de brócoli - Ravioles de brócoli - Libre de gluten","02-596077",""
"44","Manjar ®","No registra","Pastas frescas rellenas de hongos portobello, libre de gluten - Ravioles de hongo","02-596079",""
"44","Manjar ®","No registra","Pastas frescas rellenas de mozzarella, tomate y albahaca libre de gluten - Ravioles capresse","02-596081",""
"44","Manjar®","No registra","Pastas frescas rellenas de queso - Libre de gluten -  Raviol de quesos","02-596087",""
"44","Manjar ®","No registra","Pastas frescas, ñoquis con salsa de tomate libre de gluten","02-596070",""
"45","Vacalin","No registra","Crema helada de sambayón con almendras - Libre de gluten","02-595979",""
"45","Blake","No registra","Helado de agua de ananá - Libre de gluten","02-595973",""
"45","Vacalin","No registra","Helado de agua de ananá - Libre de gluten","02-595975",""
"45","Blake","No registra","Helado de agua de durazno - Libre de gluten","02-595976",""
"45","Vacalin","No registra","Helado de agua de durazno - Libre de gluten","02-595978",""
"45","Blake","No registra","Helado de agua de maracuyá - Libre de gluten","02-595968",""
"45","Vacalin","No registra","Helado de agua de maracuyá - Libre de gluten","02-595969",""
"45","Nestlé Frigor Popsy","No registra","Helado de agua sabor frutilla y helado sabor a crema americana - Libre de gluten","02-595900",""
"45","Nestlé - Frigor - Torpedo","No registra","Helado de agua sabor uva y helado de agua sabor naranja - Libre de gluten ","02-595798",""
"45","Helados Daniel","No registra","Helado de crema americana - Libre de gluten","02-595329",""
"45","Helados Escobar - La Sorbetière","No registra","Helado de crema americana al chantilly - Libre de gluten","02-531446",""
"45","Helados Daniel","No registra","Helado de crema con nueces - Crema rusa - Libre de gluten","02-512669",""
"45","Helados Daniel","No registra","Helado de crema de café con almendras acarameladas y whisky - Crema moka - Libre de gluten","02-512670",""
"45","Helados Daniel","No registra","Helado de crema de vainilla - Libre de gluten","02-595328",""
"45","Schietto","No registra","Helado de crema sabor frutos del bosque - Libre de gluten","02-596595",""
"45","Helados Daniel","No registra","Helado de frutilla a la crema - Libre de gluten","02-595327",""
"45","Helados Daniel","No registra","Helado de crema de higo con nueces - Libre de gluten","02-512668",""
"45","Danette","No registra","Postre sabor a chocolate blanco - Libre de gluten","02-596889",""
"45","Serenito","No registra","Postre sabor a vainilla con dulce de leche fortificado con zinc y vitaminas A, D, B9 - Libre de gluten","02-519854",""
"46","Dale Vida","No registra","Castañas de cajú- Libre de gluten","02-595810",""
"46","Susana Dieta","No registra","Turrón de almendras libre de gluten ","02-595807",""
"46","Susana Dieta ","No registra","Turrón de castañas de cajú y jarabe de maíz de alta fructosa- Libre de gluten ","02-595621",""
"47","Hausbrot ","No registra","Budín dulce con harina de arroz integral - Libre de gluten ","02-596199",""
"47","Celimundo ","No registra","Mediaslunas dulces de manteca libre de gluten","02-595983",""
"49","Jumbo Más Calidad","No registra","Alimento a base de queso blanco. Libre de gluten","02-595655",""
"49","Melincué","No registra","Queso de pasta dura en block - Libre de gluten","02-596009",""
"49","Melincué","No registra","Queso goya - Libre de gluten","02-595991",""
"49","Lácteos Barraza ","No registra","Queso port salut sin agregado de sal - Libre de gluten","02-567047",""
"51","Abedul","No registra","Vinagre con mosto de uva - Aceto balsámico- Libre de gluten ","02-519713",""
"52","Día %","No registra","Producto para copetín a base de maíz libre de gluten - Nacho cheddar","02-595967",""
"52","For Good","No registra","Semillas de girasol tostadas y saladas con sabor a tomate y orégano - Libre de gluten - Semillas snack tomate y orégano","02-596028",""
"52","Crisppino","No registra","Snacks de arroz sabor chocolate - Libre de gluten","02-595858",""
"53","Laboratorios Pharmamerican","No registra","Suplemento dietario a base de zanahoria extracto, bixa orellana extracto, vitamina C, betacaroteno, tomate extracto y vitamina E en cápsulas. Libre  de gluten","02-595476",""
"54","Saint Gottard","No registra","Mezcla de hierbas y especias para infusión con sabores: limón, miel. Libre de gluten","02-596916",""
"54","Saint Gottard","No registra","Mezcla de hierbas, yerba mate, especias, té verde, café verde, algas, rooibos y guaraná para infusión con sabores: limón, miel. Libre de gluten","02-596919",""
"54","Saint Gottard","No registra","Mezcla de yerba mate, especias, hierbas, rooibos y guaraná para infusión. Libre de gluten","02-596918",""
"56","Ser","No registra","Yogur dietético edulcorado parcialmente descremado reducido en calorías fortificado con vitaminas A, D, E y ácido fólico, con preparado pasión de frutos rojos. Libre de gluten","02-595984",""
"52","Dômo Arigatô Proteico Suero + Queso","No registra","Alimento a base de arroz, suero de queso en polvo, harina integral de maíz, quínoa, queso en polvo, fécula de maíz, sal - Libre de gluten","02-595987",""
"20","Dômo Arigatô Proteico Suero + Quinoa","No registra","Alimento a base de arroz, suero de queso en polvo, leche descremada en polvo, maíz integral, dulce de leche en polvo, quínoa, cacao amargo, azúcar de caña, fécula de maíz, miel de abeja - Libre de gluten","02-595988",""
"20","Dômo Arigatô Proteico Serraceno + Multisemillas","No registra","Alimento a base de trigo sarraceno, maíz integral, arroz integral, cacao amargo, azúcar orgánico de caña, quínoa, amaranto, fécula de maíz, sésamo - Libre de gluten","02-595989",""
"33","Arropop","No registra","Galletas de arroz integral dietética con stevia, sin el agregado de azúcar - Libre de gluten","21-110202",""
"43","Vida Libre","No registra","Grisines libre de gluten","21-110200",""
"21","Primor","Arroz Parboil","Arroz parboil tipo largo fino calidad 00000 - Libre de gluten","21-110197",""
"33","Vida Libre","No registra","Galletitas dulces con miel y frutos secos libre de gluten","21-110177",""
"52","Vida Libre","Snack con queso azul","Galletita salada con queso azul libre de gluten","21-110158",""
"2","All Around","Espesante texture Max ATX","Espesantes para queso crema y queso fundido libre de gluten. Uso industrial exclusivo","21-110144",""
